"Date","Open","High","Low","Close","Volume","Adjusted"
"2011/12/09",0.795,0.814,0.795,0.797,106177233,0.78903
"2011/12/12",0.79,0.803,0.79,0.79,31106509,0.7821
"2011/12/13",0.788,0.788,0.763,0.768,96744368,0.76032
"2011/12/14",0.768,0.777,0.755,0.76,81609468,0.7524
"2011/12/15",0.755,0.764,0.747,0.752,41700501,0.74448
"2011/12/16",0.75,0.784,0.748,0.781,82938439,0.77319
"2011/12/19",0.775,0.795,0.766,0.795,106873520,0.78705
"2011/12/20",0.795,0.8,0.78,0.78,65199186,0.7722
"2011/12/21",0.786,0.791,0.766,0.766,48542546,0.75834
"2011/12/22",0.756,0.768,0.73,0.757,70938409,0.74943
"2011/12/23",0.75,0.773,0.749,0.761,101360317,0.75339
"2011/12/26",0.759,0.773,0.751,0.755,45685475,0.74745
"2011/12/27",0.75,0.754,0.727,0.729,109915971,0.72171
"2011/12/28",0.72,0.724,0.703,0.719,115703877,0.71181
"2011/12/29",0.713,0.726,0.711,0.718,33972047,0.71082
"2011/12/30",0.723,0.732,0.722,0.729,77257522,0.72171
"2012/01/04",0.735,0.739,0.708,0.708,36049353,0.70092
"2012/01/05",0.705,0.705,0.666,0.672,66382216,0.66528
"2012/01/06",0.668,0.676,0.647,0.67,138794086,0.6633
"2012/01/09",0.667,0.698,0.658,0.696,177847065,0.68904
"2012/01/10",0.696,0.722,0.691,0.72,75556135,0.7128
"2012/01/11",0.717,0.731,0.711,0.723,125941378,0.71577
"2012/01/12",0.717,0.73,0.71,0.711,79838620,0.70389
"2012/01/13",0.709,0.711,0.666,0.668,211204112,0.66132
"2012/01/16",0.656,0.66,0.635,0.635,92503548,0.62865
"2012/01/17",0.635,0.67,0.627,0.666,226998258,0.65934
"2012/01/18",0.665,0.669,0.624,0.624,87704156,0.61776
"2012/01/19",0.619,0.639,0.615,0.635,101084632,0.62865
"2012/01/20",0.634,0.653,0.634,0.648,107639898,0.64152
"2012/01/30",0.649,0.663,0.645,0.655,92379698,0.64845
"2012/01/31",0.652,0.655,0.638,0.65,62003253,0.6435
"2012/02/01",0.651,0.666,0.648,0.653,150784765,0.64647
"2012/02/02",0.654,0.67,0.653,0.67,73896736,0.6633
"2012/02/03",0.669,0.685,0.664,0.682,103945854,0.67518
"2012/02/06",0.683,0.693,0.683,0.69,129940592,0.6831
"2012/02/07",0.683,0.685,0.671,0.675,109232272,0.66825
"2012/02/08",0.677,0.697,0.671,0.696,200855440,0.68904
"2012/02/09",0.694,0.708,0.693,0.701,116409290,0.69399
"2012/02/10",0.7,0.708,0.695,0.701,113099853,0.69399
"2012/02/13",0.694,0.721,0.691,0.718,117284667,0.71082
"2012/02/14",0.715,0.719,0.708,0.715,58079239,0.70785
"2012/02/15",0.714,0.727,0.708,0.726,79149852,0.71874
"2012/02/16",0.723,0.734,0.715,0.723,50055725,0.71577
"2012/02/17",0.726,0.728,0.71,0.719,67987778,0.71181
"2012/02/20",0.725,0.734,0.722,0.723,39183956,0.71577
"2012/02/21",0.721,0.739,0.716,0.738,77306937,0.73062
"2012/02/22",0.738,0.767,0.737,0.762,193157652,0.75438
"2012/02/23",0.765,0.768,0.75,0.76,124234294,0.7524
